time;memory_free;r_a1;r_a2
1.666.738.395.324;-1562374144;3;4
1.666.738.395.324;-1562406912;3;4
1.666.738.395.324;-1562382336;3;4
1.666.738.395.324;-1562210304;3;4
1.666.738.395.324;-1562218496;3;4
1.666.738.395.324;-1562316800;3;4
1.666.738.395.324;-1562284032;3;4
1.666.738.395.324;-1562468352;3;4
1.666.738.395.324;-1562124288;3;4
1.666.738.395.324;-1562214400;3;4
1.666.738.395.324;-1562247168;3;4
1.666.738.395.324;-1562341376;3;4
1.666.738.395.324;-1562374144;3;4
1.666.738.395.324;-1562210304;3;4
1.666.738.395.324;-1562210304;3;4
1.666.738.395.324;-1562177536;3;4
1.666.738.395.324;-1580523520;4;4
1.666.738.395.324;-1621082112;4;4
1.666.738.395.324;-1597878272;4;4
1.666.738.395.324;-1632813056;4;4
1.666.738.395.324;-1766768640;4;4
1.666.738.395.324;-1781170176;4;4
1.666.738.395.324;-1783857152;4;4
1.666.738.395.324;-1784418304;4;4
1.666.738.395.324;-1784352768;4;4
1.666.738.395.324;-1784475648;4;4
1.666.738.395.324;-1784385536;4;4
1.666.738.395.324;-1784504320;4;4
1.666.738.395.324;-1784504320;4;4
1.666.738.395.324;-1784639488;4;4
1.666.738.395.324;-1784930304;4;4
1.666.738.395.324;-1785147392;4;4
1.666.738.395.324;-1785122816;4;4
1.666.738.395.324;-1785114624;4;4
1.666.738.395.324;-1785180160;4;4
1.666.738.395.324;-1785487360;4;4
1.666.738.395.324;-1785626624;4;4
1.666.738.395.324;-1785593856;4;4
1.666.738.395.324;-1785528320;4;4
1.666.738.395.324;-1785651200;4;4
1.666.738.395.324;-1785577472;4;4
1.666.738.395.324;-1785692160;4;4
1.666.738.395.324;-1785651200;4;4
1.666.738.395.324;-1785872384;4;4
1.666.738.395.324;-1785753600;4;4
1.666.738.395.324;-1785786368;4;4
1.666.738.395.324;-1785655296;4;4
1.666.738.395.324;-1785655296;4;4
1.666.738.395.324;-1785647104;4;4
1.666.738.395.324;-1785786368;4;4
1.666.738.395.324;-1785786368;4;4
1.666.738.395.324;-1785688064;4;4
1.666.738.395.324;-1785630720;4;4
1.666.738.395.324;-1785704448;4;4
1.666.738.395.324;-1785688064;4;4
1.666.738.395.324;-1785815040;4;4
1.666.738.395.324;-1785815040;4;4
1.666.738.395.324;-1785839616;4;4
1.666.738.395.324;-1785806848;4;4
1.666.738.395.324;-1785847808;4;4
1.666.738.395.324;-1785946112;4;4
1.666.738.395.324;-1785946112;4;4
1.666.738.395.324;-1785872384;4;4
1.666.738.395.324;-1785749504;4;4
1.666.738.395.324;-1785749504;4;4
1.666.738.395.324;-1785880576;4;4
1.666.738.395.324;-1785782272;4;4
1.666.738.395.324;-1785782272;4;4
1.666.738.395.324;-1785905152;4;4
1.666.738.395.324;-1785872384;4;4
1.666.738.395.324;-1785839616;4;4
1.666.738.395.324;-1785823232;4;4
1.666.738.395.324;-1785876480;4;4
1.666.738.395.324;-1786032128;4;4
1.666.738.395.324;-1786032128;4;4
1.666.738.395.324;-1786048512;4;4
1.666.738.395.324;-1786421248;4;5
1.666.738.395.324;-1794424832;4;5
1.666.738.395.324;-1830539264;4;5
1.666.738.395.324;-1860960256;4;5
1.666.738.395.324;-1963950080;4;5
1.666.738.395.324;-1998098432;4;5
1.666.738.395.324;-2007621632;4;5
1.666.738.395.324;-2008350720;4;5
1.666.738.395.324;-2009124864;4;5
1.666.738.395.324;-2008985600;4;5
1.666.738.395.324;-2009092096;4;5
1.666.738.395.324;-2009079808;4;5
1.666.738.395.324;-2009210880;4;5
1.666.738.395.324;-2009145344;4;5
1.666.738.395.324;-2009178112;4;5
1.666.738.395.324;-2009628672;4;5
1.666.738.395.324;-2009620480;4;5
1.666.738.395.324;-2009653248;4;5
1.666.738.395.324;-2009726976;4;5
1.666.738.395.324;-2009878528;4;5
1.666.738.395.324;-2009812992;4;5
1.666.738.395.324;-2009911296;4;5
1.666.738.395.324;-2009878528;4;5
1.666.738.395.324;-2009821184;4;5
1.666.738.395.324;-2009886720;4;5
1.666.738.395.324;-2009722880;4;5
1.666.738.395.324;-2009812992;4;5
1.666.738.395.324;-2010005504;4;5
1.666.738.395.324;-2009661440;4;5
1.666.738.395.324;-2009653248;4;5
1.666.738.395.324;-2009845760;4;5
1.666.738.395.324;-2009755648;4;5
1.666.738.395.324;-2009845760;4;5
1.666.738.395.324;-2009919488;4;5
1.666.738.395.324;-2009878528;4;5
1.666.738.395.324;-2009780224;4;5
1.666.738.395.324;-2009878528;4;5
1.666.738.395.324;-2009690112;4;5
1.666.738.395.324;-2009845760;4;5
1.666.738.395.324;-2009788416;4;5
1.666.738.395.324;-2009812992;4;5
1.666.738.395.324;-2009821184;4;5
1.666.738.395.324;-2009886720;4;5
1.666.738.395.324;-2009907200;4;5
1.666.738.395.324;-2009939968;4;5
1.666.738.395.324;-2010038272;4;5
1.666.738.395.324;-2009980928;4;5
1.666.738.395.324;-2009907200;4;5
1.666.738.395.324;-2009939968;4;5
1.666.738.395.324;-2009907200;4;5
1.666.738.395.324;-2009948160;4;5
1.666.738.395.324;-2010132480;4;5
1.666.738.395.324;-2010001408;4;5
1.666.738.395.324;-2010001408;4;5
1.666.738.395.324;-2010001408;4;5
1.666.738.395.324;-2010128384;4;5
1.666.738.395.324;-2010099712;4;5
1.666.738.395.324;-2010066944;4;5
1.666.738.395.324;-2010034176;4;5
1.666.738.395.324;-2010259456;4;5
1.666.738.395.324;-2037768192;5;5
1.666.738.395.324;-2018009088;5;5
1.666.738.395.324;-2017927168;5;5
1.666.738.395.324;-2116890624;5;5
1.666.738.395.324;-2225139712;5;5
1.666.738.395.324;-2225139712;5;5
1.666.738.395.324;-2228719616;5;5
1.666.738.395.324;-2231472128;5;5
1.666.738.395.324;-2232090624;5;5
1.666.738.395.324;-2232156160;5;5
1.666.738.395.324;-2232090624;5;5
1.666.738.395.324;-2232147968;5;5
1.666.738.395.324;-2232418304;5;5
1.666.738.395.324;-2232418304;5;5
1.666.738.395.324;-2232549376;5;5
1.666.738.395.324;-2232549376;5;5
1.666.738.395.324;-2233024512;5;5
1.666.738.395.324;-2233057280;5;5
1.666.738.395.324;-2233024512;5;5
1.666.738.395.324;-2233049088;5;5
1.666.738.395.324;-2233253888;5;5
1.666.738.395.324;-2233311232;5;5
1.666.738.395.324;-2233270272;5;5
1.666.738.395.324;-2233278464;5;5
1.666.738.395.324;-2233266176;5;5
1.666.738.395.324;-2233901056;5;5
1.666.738.395.324;-2234093568;5;5
1.666.738.395.324;-2234609664;5;5
1.666.738.395.324;-2234609664;5;5
1.666.738.395.324;-2234740736;5;5
1.666.738.395.324;-2234707968;5;5
1.666.738.395.324;-2234421248;5;5
1.666.738.395.324;-2234445824;5;5
1.666.738.395.324;-2234396672;5;5
1.666.738.395.324;-2234281984;5;5
1.666.738.395.324;-2234454016;5;5
1.666.738.395.324;-2234421248;5;5
1.666.738.395.324;-2234355712;5;5
1.666.738.395.324;-2234355712;5;5
1.666.738.395.324;-2234363904;5;5
1.666.738.395.324;-2234454016;5;5
1.666.738.395.324;-2234421248;5;5
1.666.738.395.324;-2234363904;5;5
1.666.738.395.324;-2234548224;5;5
1.666.738.395.324;-2234445824;5;5
1.666.738.395.324;-2234388480;5;5
1.666.738.395.324;-2234355712;5;5
1.666.738.395.324;-2234421248;5;5
1.666.738.395.324;-2234429440;5;5
1.666.738.395.324;-2234331136;5;5
1.666.738.395.324;-2234454016;5;5
1.666.738.395.324;-2234376192;5;5
1.666.738.395.324;-2234449920;5;5
1.666.738.395.324;-2234482688;5;5
1.666.738.395.324;-2234449920;5;5
1.666.738.395.324;-2234544128;5;5
1.666.738.395.324;-2234675200;5;5
1.666.738.395.324;-2234707968;5;5
1.666.738.395.324;-2234773504;5;5
